label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,adductName,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,000a_20201117_SRJ_HILICnegpos_0a_0_Blank_0_0_0,001_20201117_SRJ_HILICnegpos_1_SL01_P1_24hr_Vehicle_13CGln,002_20201117_SRJ_HILICnegpos_2_SL02_P1_24hr_Vehicle_13CGln,003_20201117_SRJ_HILICnegpos_3_SL03_P1_24hr_Vehicle_13CGln,004_20201117_SRJ_HILICnegpos_4_SL04_P1_24hr_0p5um_13CGln,005_20201117_SRJ_HILICnegpos_5_SL05_P1_24hr_0p5um_13CGln,006_20201117_SRJ_HILICnegpos_6_SL06_P1_24hr_0p5um_13CGln,007_20201117_SRJ_HILICnegpos_7_SL07_P1_24hr_1um_13CGln,008_20201117_SRJ_HILICnegpos_8_SL08_P1_24hr_1um_13CGln,009_20201117_SRJ_HILICnegpos_9_SL09_P1_24hr_1um_13CGln,010_20201117_SRJ_HILICnegpos_10_SL10_P3_24hr_Vehicle_13CGln,011_20201117_SRJ_HILICnegpos_11_SL11_P3_24hr_Vehicle_13CGln,012_20201117_SRJ_HILICnegpos_12_SL12_P3_24hr_Vehicle_13CGln,013_20201117_SRJ_HILICnegpos_13_SL13_P3_24hr_0p5um_13CGln,014_20201117_SRJ_HILICnegpos_14_SL14_P3_24hr_0p5um_13CGln,015_20201117_SRJ_HILICnegpos_15_SL15_P3_24hr_0p5um_13CGln,016_20201117_SRJ_HILICnegpos_16_SL16_P3_24hr_1um_13CGln,017_20201117_SRJ_HILICnegpos_17_SL17_P3_24hr_1um_13CGln,018_20201117_SRJ_HILICnegpos_18_SL18_P3_24hr_1um_13CGln,019_20201117_SRJ_HILICnegpos_19_SL19_P1_24hr_Vehicle_13CGluc,020_20201117_SRJ_HILICnegpos_20_SL20_P1_24hr_Vehicle_13CGluc,021_20201117_SRJ_HILICnegpos_21_SL21_P1_24hr_Vehicle_13CGluc,022_20201117_SRJ_HILICnegpos_22_SL22_P1_24hr_0p5um_13CGluc,023_20201117_SRJ_HILICnegpos_23_SL23_P1_24hr_0p5um_13CGluc,024_20201117_SRJ_HILICnegpos_24_SL24_P1_24hr_0p5um_13CGluc,030_20201117_SRJ_HILICnegpos_30_SL30_P3_24hr_Vehicle_13CGluc,025_20201117_SRJ_HILICnegpos_25_SL25_P1_24hr_1um_13CGluc,026_20201117_SRJ_HILICnegpos_26_SL26_P1_24hr_1um_13CGluc,027_20201117_SRJ_HILICnegpos_27_SL27_P1_24hr_1um_13CGluc,028_20201117_SRJ_HILICnegpos_28_SL28_P3_24hr_Vehicle_13CGluc,029_20201117_SRJ_HILICnegpos_29_SL29_P3_24hr_Vehicle_13CGluc,031_20201117_SRJ_HILICnegpos_31_SL31_P3_24hr_0p5um_13CGluc,032_20201117_SRJ_HILICnegpos_32_SL32_P3_24hr_0p5um_13CGluc,033_20201117_SRJ_HILICnegpos_33_SL33_P3_24hr_0p5um_13CGluc,034_20201117_SRJ_HILICnegpos_34_SL34_P3_24hr_1um_13CGluc,035_20201117_SRJ_HILICnegpos_35_SL35_P3_24hr_1um_13CGluc,036_20201117_SRJ_HILICnegpos_36_SL36_P3_24hr_1um_13CGluc
b,1,1,5,178.950806,18.526,0.614057,[M+H]+,C12 PARENT,pyrophosphate,pyrophosphate,H4O7P2,-1,1.705364,178.950806,418.8,2648.3,5239.72,6714.44,12144.77,13456.54,4232.57,9028.87,8457.09,11165.16,6609.02,10902.09,8143.76,23424.55,26377.75,25521.59,17475.9,35768.3,14423.55,11992.36,12585.97,11976.36,20435.22,40709.02,37915,13529.66,69620.06,204266.12,41348.69,106515.98,34900.39,42686.32,249589.67,131347.22,64016.16,77934.57,33232.79
b,2,2,1,178.950684,19.297,0.610225,[M+H]+,C12 PARENT,pyrophosphate,pyrophosphate,H4O7P2,-1,1.023219,178.950684,343.44,1468.56,732.86,12898.58,4657.68,13897.17,7789.19,12200.63,12395.76,21297.82,16434.95,21675.5,7068.3,14340.83,16584.79,19557.78,22727.6,21707.78,36570.62,19459.05,5779.31,20250.89,47001.88,31144.23,22583.53,33283.27,31239.49,57959.78,143505.02,39786.86,44034.03,46958.23,73753.19,96691.41,60679.14,100813.57,59629.12
g,3,3,17,230.042542,12.986,0.831392,[M+H]+,C12 PARENT,phosphoribosylamine,phosphoribosylamine,C5H12NO7P,-1,0.530643,230.042542,0,4969.83,2037.39,15657.79,52736.42,469260.66,68943.02,667954.75,636723.81,729912.5,39733.6,12185.82,6232.44,485343.12,439288.97,534555.31,460642.59,389666.47,491710.5,14249.02,652.03,7613.95,1246778.62,1262713.25,1150383.25,0,1016902.31,1187333.25,1276914.88,25677.76,4919.78,830224.06,778613.12,669573.12,636083.31,826180.69,735329.25
,3,4,6,235.059647,12.99,0.771884,,C13-label-5,phosphoribosylamine,phosphoribosylamine,C5H12NO7P,-1,1.94744,230.042542,0,0,0,6160.51,0,0,0,3131.67,0,8676.34,15336.91,0,0,0,11114.2,3045.16,8080.83,10979.02,5246.82,13996.16,6495.89,20794.82,372310.47,292802.44,397996.22,41316.33,161773.95,200964.61,234150.7,39586.25,18188.57,496837.19,520454.12,531413.38,457014.81,444126.59,457748.03
b,5,5,1,230.042435,14.967,0.665924,[M+H]+,C12 PARENT,phosphoribosylamine,phosphoribosylamine,C5H12NO7P,-1,0.06633,230.042435,0,1108.47,3505.61,17063.5,2248.74,3040.71,1354.95,6288.64,7068.85,6204.12,0,769.66,1421.22,4193.56,884.53,9184.89,3378.24,1783.37,3031.96,892.39,0,1166.74,7081.11,11214.79,6308.46,3351.28,15779.99,7712.21,14958.15,1547.83,5423.76,5289.3,2409.5,3392.36,3281.49,8558.43,8529.05
g,6,6,21,178.950546,13.072,0.84774,[M+H]+,C12 PARENT,pyrophosphate,pyrophosphate,H4O7P2,-1,0.255805,178.950546,0,3173.44,5800.28,7721.25,2749.09,25654.89,8909.26,40992.76,42983.39,45636.28,12712.21,3304.25,5052,44799.35,52094.05,73237.58,43579.73,22862.84,36920.91,47981.68,17299.67,59330.08,188293.17,223140,244212.81,32151.28,301259.28,394262.66,346130.25,22987.99,56614.82,168263.19,221298.25,205051.48,140571.12,127816.76,149217.77
g,7,7,36,664.115662,12.951,0.83526,[M+H]+,C12 PARENT,NAD+,NAD+,C21H27N7O14P2,0.729,1.102852,664.115662,2650.06,14306345,15875114,16854322,14796189,13026326,14285891,9670030,8315855,10182307,12151070,15358490,13968995,9697388,8661561,9347011,8876003,6584768,7540231.5,28671122,27188404,27757108,19156536,20230354,18775200,32078706,20958876,25371972,21962804,21615152,29781408,20762200,19788522,15924535,15520093,17523882,17461616
,7,8,29,665.118896,12.952,0.824497,,C13-label-1,NAD+,NAD+,C21H27N7O14P2,0.728,1.284719,664.115662,0,3427718,3880363.25,4166679,3618591.25,3202262.5,3499551.75,2420839.5,2131968.25,2564644.5,2888826.5,3772658.25,3455162.25,2299396.5,2114163.5,2262571.25,2164011.25,1613369.12,1846882.5,7107327.5,6773497,6857633,4937645,5116721.5,4526985.5,8122335,5051958.5,6260599.5,5486413.5,5274161,7552063.5,5165726.5,5061529,3947213.75,3804201.25,4399552,4355572.5
,7,9,5,674.14801,12.962,0.761915,,C13-label-10,NAD+,NAD+,C21H27N7O14P2,0.718,2.897167,664.115662,0,10886.77,162480.7,10551.2,0,0,0,0,0,0,16701.59,7568.55,11037.33,0,0,0,4960.69,15013.92,4393.05,735192.62,742509.12,737766.69,17014.32,14926.24,52874.67,1134202.38,12369.99,124769.83,0,673503.38,913590.44,208575.56,136610.84,181150.17,35715.69,7206.53,19661.83
,7,10,0,675.151611,12.989,0.367795,,C13-label-11,NAD+,NAD+,C21H27N7O14P2,0.691,2.531254,664.115662,0,0,0,0,40858.29,0,39970.81,0,0,0,63145.72,0,9164.99,27192.4,17095.61,41110.59,22478.6,19803.23,13662.39,205935.27,166414,264224.34,9430.82,29485.87,11837.28,231982.12,0,20397.89,19275.48,60163.38,143891.62,13410.1,80894.24,83109.84,64878.47,53820.43,45532.41
